BAGLANTI_TIP_ID;HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS;GIDIS_CALISMA_SAATI;DONUS_CALISMA_SAATI
1;5;NARLIDERE - ÜÇKUYULAR İSKELE;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ-F.ALTAY AKT.;;NARLIDERE;ÜÇKUYULAR İSKELE;06:00 - 23:00;06:40 - 23:40
1;6;ARIKENT - ÜÇKUYULAR İSK.;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;ARIKENT;ÜÇKUYULAR İSKELE;05:50 - 23:20;06:30 - 00:00
1;7;SAHİLEVLERİ - ÜÇKUYULAR İSK.;MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;SAHİLEVLERİ;ÜÇKUYULAR İSKELE;06:00 - 23:35;06:45 - 00:20
1;8;GÜZELBAHÇE - F.ALTAY AKTARMA MERKEZİ;SEFERİHİSAR KAVŞAĞI-MİTHAT PAŞA CAD. - 9 EYLÜL HASTANESİ;;GÜZELBAHÇE;F.ALTAY AKT.;06:00 - 00:10;06:00 - 00:30
1;10;ÜÇKUYULAR İSKELE - KONAK;MİTHATPAŞA CAD.-ASANSÖR-KARATAŞ;;ÜÇKUYULAR İSKELE;KONAK;06:00 - 23:25;06:00 - 00:00
1;15;İNÖNÜ - KONAK;ÇANKAYA MAH.-NOKTA-İNÖNÜ CAD.;;İNÖNÜ MAH.;KONAK;06:00 - 23:30;06:20 - 00:00
1;16;VATAN MAHALLESİ - ÜÇYOL;POLAT CAD.-YILDIZ CAD.-ORDU CAD.;;VATAN MAH.;ÜÇYOL METRO;06:00 - 22:35;06:45 - 23:25
1;17;UZUNDERE TOPLU KONUTLARI - F.ALTAY AKTARMA MERKEZİ;ÇEVRE YOLU-LİMONTEPE KAVŞAĞI;;UZUNDERE TOPLU KONUTLARI;F.ALTAY AKT.;05:55 - 00:30;06:30 - 01:00
1;18;YEŞİLYURT - KONAK;ATATÜRK EĞT.ARŞ.HAST.-ORDU CAD.- VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;YEŞİLYURT;KONAK;06:05 - 23:20;
1;19;ŞEHİTLER - KONAK;BASIN SİTESİ-ATATÜRK EĞT. ARŞ.HAST.- ÜÇYOL;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;ŞEHİTLER;KONAK;06:00 - 23:25;
1;20;KOOPERATİF EVLERİ - KONAK;SAİM ÇIKRIKÇI CAD.-BOZYAKA EĞT. ARŞ.HAST.-ÜÇYOL;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;KOOP. EVLERİ;KONAK;06:00 - 23:20;
1;21;HALİL RIFAT PAŞA - KONAK;ŞATO;HATTIMIZ RİNG HAT OLUP HALİL RIFAT PAŞA'DAN SAAT UYGULAMASI YOKTUR.;HALİL RIFAT PAŞA;KONAK;;06:00 - 00:00
1;23;UZUNDERE - KONAK;ESKİİZMİR CAD.-EŞREFPAŞA-VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;UZUNDERE;KONAK;06:00 - 23:20;
1;24;KAVACIK - ÜÇKUYULAR İSKELE;TIRAZLI-LİMONTEPE KAVŞAĞI-ÇEVRE YOLU;;KAVACIK;ÜÇKUYULAR İSKELE;07:30 - 19:00;06:30 - 18:00
1;25;OYUNLAR KÖYÜ - ÜÇKUYULAR İSKELE;ÇEVRE YOLU-LİMONTEPE KAVŞAĞI;;OYUNLAR KÖYÜ;ÜÇKUYULAR İSKELE;06:00 - 23:30;06:30 - 00:00
1;27;ÇAMLIK - KONAK;KARABAĞLAR-EŞREFPAŞA-VARYANT;HATTIMIZ RİNG HAT OLUP KONAKTAN SAAT UYGULAMASI YOKTUR;ÇAMLIK;KONAK;06:00 - 23:20;
1;29;KADRİYE MAH. - KONAK;EŞREFPAŞA-VARYANT;;KADRİYE MAH.;KONAK;06:00 - 23:30;06:26 - 00:00
1;30;KAYNAK - KONAK;HASAN ÖZDEMİR MAH.- EŞREFPAŞA -VARYANT;;KAYNAK;KONAK;06:00 - 23:35;06:22 - 00:00
1;32;ÇİMENTEPE SİTESİ - KONAK;EŞREFPAŞA-VARYANT;;ÇİMENTEPE SİTESİ;KONAK;06:35 - 21:10;06:55 - 21:45
1;33;KADİFEKALE - KONAK;EŞREFPAŞA-VARYANT;;KADİFEKALE;KONAK;06:00 - 23:35;06:30 - 00:00
1;34;ESENTEPE - GÜMRÜK;TOROS - Y.KEMER - BASMANE;;ESENTEPE;GÜMRÜK;06:00 - 23:25;06:40 - 00:00
1;35;BALLIKUYU - KONAK;KAPILAR - BASMANE;;BALLIKUYU;KONAK;06:00 - 23:15;06:25 - 00:00
1;36;ŞİRİNYER AKTARMA MERKEZİ - GÜMRÜK;YEŞİLDERE - KAPILAR - BASMANE;;ŞİRİNYER AKT.;GÜMRÜK;06:00 - 23:30;06:36 - 00:00
1;39;İSMETPAŞA MAH. - GÜMRÜK;ÇİMENLİ CAMİ - KEMER - BASMANE;;İSMETPAŞA;GÜMRÜK;06:00 - 22:00;06:25 - 22:30
1;41;LEVENT - GÜMRÜK;LEVENT - KEMER AKTARMA MERKEZİ - BASMANE;Levent'ten 06.00, ve 06.25, servisleri Toros Meydan Durağı'ndan başlar.;LEVENT;GÜMRÜK;06:00 - 08:05;06:25 - 08:30
1;42;ÇINARTEPE - GÜMRÜK;LEVENT - KEMER - BASMANE;;ÇINARTEPE;GÜMRÜK;06:00 - 23:27;06:35 - 00:00
1;44;MERSİNPINAR - GÜMRÜK;BOĞAZİÇİ - YENİŞEHİR HASTANELER - BASMANE;;MERSİNPINAR;GÜMRÜK;06:00 - 23:20;06:25 - 00:00
1;45;GÜLTEPE - GÜMRÜK;BOĞAZİÇİ - YENİŞEHİR HASTANELER - BASMANE;;GÜLTEPE;GÜMRÜK;06:00 - 23:30;06:30 - 00:00
1;46;ÇOBANÇEŞME - GÜMRÜK;LEVENT - KEMER - BASMANE;;ÇOBANÇEŞME;GÜMRÜK;06:00 - 23:30;06:35 - 00:00
