ISTASYON_ID;ISTASYON_ADI;ENLEM;BOYLAM
25;Alaybey;38.460.104;27.127.122
26;Karşıyaka İskele;38.454.588;27.119.118
27;Nikah Sarayı;38.449.715;27.110.502
28;Yunuslar;38.451.639;27.103.492
29;Bostanlı İskele (Deniz Tarafı);38.454.455;27.097.556
30;Bostanlı İskele (Kara Tarafı);38.454.243;27.099.124
31;Çarşı;38.458.061;2.709.433
32;Vilayet Evi;38.460.462;27.090.163
33;Selçuk Yaşar;38.463.781;27.086.119
34;Atakent ;38.467.588;27.087.898
35;Bilim Müzesi;38.474.091;27.082.361
36;Mustafa Kemal Spor Salonu;38.475.279;27.074.839
37;Mavişehir;38.475.389;27.067.805
38;Çevreyolu;38.479.524;2.706.609
39;Ataşehir;38.479.704;27.073.031
