ISTASYON_ID;ISTASYON_ADI;ENLEM;BOYLAM
40;Halkapınar;3.843.405;2.717.199
41;Havagazı;3.843.974;2.715.824
42;Alsancak Stadyumu;3.843.821;27.152
43;Üniversite;3.843.724;2.716.084
44;Alsancak Gar;3.843.961;2.714.813
45;Atatürk Kapalı Spor Salonu;3.843.467;2.714.721
46;Hocazade Camii;3.843.305;2.714.407
47;Kültürpark;3.842.922;2.714.146
48;Gazi Bulvarı;3.842.417;2.713.703
49;Konak İskele;3.841.883;2.712.725
50;Karataş;3.841.055;2.711.875
51;Karantina;3.840.786;2.710.563
52;Köprü Sağ Peron;3.840.583;2.709.872
53;Köprü Sol Peron;3.840.601;2.709.852
54;Sadıkbey Sağ Peron;3.840.327;270.959
55;Sadıkbey Sol Peron;3.840.317;2.709.533
56;Göztepe Sağ Peron;3.840.025;2.709.166
57;Göztepe Sol Peron;3.840.064;2.709.159
58;Güzelyalı Sağ Peron;3.839.843;2.708.486
59;Güzelyalı Sol Peron;3.839.938;2.708.307
60;Ahmet Adnan Saygun S.M. Sağ Peron;3.840.048;2.707.713
61;Ahmet Adnan Saygun S.M. Sol Peron;3.840.067;2.707.793
62;Üçkuyular;3.840.312;2.707.152
63;Fahrettin Altay;3.839.796;2.706.944
